id,user_id,memory_id,title,description,date,status,priority,created_at,updated_at
1,1,,初品加工・基本寸法確認,"即時展開を想定し、実装フェーズへの移行を進める。",2024-01-07T00:00:00Z,completed,3,2024-01-07T00:00:00Z,2024-01-07T00:00:00Z
2,1,,材料硬度変動への対応,"追加評価と検証を行い、使用可否を精査する。",2024-01-12T00:00:00Z,completed,4,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z
3,2,,真円度0.005mm以下の高精度加工,"応用領域を拡大するための展開計画を立案する。",2024-01-17T00:00:00Z,completed,5,2024-01-17T00:00:00Z,2024-01-17T00:00:00Z
4,3,,インコネル718の高効率加工,"プロトタイプ環境にて早期適用を試みる。",2024-01-22T00:00:00Z,in_progress,5,2024-01-22T00:00:00Z,2024-01-22T00:00:00Z
5,3,,若手技術者への体系的指導,"部分的な業務活用を見据え、パイロット導入を検討する。",2024-01-27T00:00:00Z,pending,4,2024-01-27T00:00:00Z,2024-01-27T00:00:00Z
6,2,,ロボット協働組立作業,"実証フェーズを省略し、直接的な運用評価へと移行する。",2024-01-25T00:00:00Z,completed,4,2024-01-25T00:00:00Z,2024-01-25T00:00:00Z
7,3,,AI駆動品質検査システム,"限定分野にて試行的に導入して経過観察する。",2024-01-29T00:00:00Z,in_progress,5,2024-01-29T00:00:00Z,2024-01-29T00:00:00Z
8,2,,予知保全システム構築,"関連文献を踏まえつつ、慎重な検証計画を策定する。",2024-01-31T00:00:00Z,in_progress,4,2024-01-31T00:00:00Z,2024-01-31T00:00:00Z
9,3,,デジタルツイン活用最適化,"基本性能の再検証および改善案の策定を行う。",2024-02-02T00:00:00Z,pending,3,2024-02-02T00:00:00Z,2024-02-02T00:00:00Z
10,1,,サスティナブル製造システム,"対象から除外し、他の候補へリソースを集中させる。",2024-02-04T00:00:00Z,pending,3,2024-02-04T00:00:00Z,2024-02-04T00:00:00Z
